,,Run 1 values,,,Run 2 values,,,Run 3 values,,,Cumulative pTau results,,,,Cumulative total Tau results,,,,Cumulative pTau/total Tau results,,,
Well Contents,Average Cell Count,pTau,pTau2,pTau3,Total Tau,Total Tau2,Total Tau3,ptau/total Tau,ptau/total Tau2,ptau/total tau3,Average pTau,St Dev,pvalue,Z score,Average Total Tau,St Dev2,pvalue2,Z score3,Average pTau/total Tau,St Dev3,pvalue3,Z score2
CDKN2D s1,12,1.28075,1.51994,1.98234,0.61245,0.98488,0.64168,2.0912,1.54327,3.08932,1.59434,0.35666,0.102,1.18374,0.74634,0.2071,0.16794,-1.16599,2.24126,0.78387,0.1112,2.60479
CDKN2D s2,330,0.86577,0.97059,1.27976,0.78265,0.61679,0.56581,1.1062,1.57361,2.26181,1.0387,0.21524,0.78492,-0.78217,0.65508,0.11338,0.03418,-1.88849,1.64721,0.58131,0.19361,1.18159
CERK s1,406,0.94434,0.96503,1.00876,0.87027,0.81549,0.7745,1.08511,1.18337,1.30246,0.97271,0.03289,0.28719,-1.69334,0.82009,0.04805,0.02296,-0.58204,1.19031,0.10884,0.09392,-1.02147
CERK s2,439,1.22201,0.85111,1.06694,1.02464,0.96371,0.90101,1.19262,0.88316,1.18417,1.04669,0.18628,0.70656,-0.58285,0.96312,0.06182,0.41005,0.55044,1.08665,0.17628,0.48424,-1.04099
CHEK1 s1,433,1.30864,0.80815,0.95954,1.06623,0.76767,0.74797,1.22735,1.05273,1.28287,1.02544,0.25667,0.87948,-0.30061,0.86062,0.17834,0.30853,-0.2611,1.18765,0.1201,0.11372,-0.32197
CHEK1 s2,370,1.0084,0.8839,1.08537,0.92861,0.58621,0.905,1.08592,1.50784,1.19931,0.99256,0.10166,0.91073,-0.6583,0.80661,0.19124,0.22194,-0.68879,1.26436,0.21835,0.17092,-0.15312
CHEK2 s1,340,0.83405,1.00282,1.28073,0.93362,0.81148,0.93125,0.89335,1.2358,1.37529,1.0392,0.22555,0.79181,-0.99741,0.89211,0.06984,0.11591,-0.01176,1.16814,0.24799,0.36114,-0.95485
CHEK2 s2,175,0.83569,0.96074,1.17797,0.96608,0.67948,0.77978,0.86503,1.41394,1.51065,0.99146,0.1732,0.93975,-0.75342,0.80844,0.14544,0.15007,-0.67423,1.2632,0.3482,0.32065,-0.21737
CHK s1,238,0.80663,1.13607,1.02996,0.96638,1.27021,0.73235,0.83469,0.89439,1.40637,0.99089,0.16816,0.93377,-1.0927,0.98965,0.26968,0.95305,0.76049,1.04515,0.31425,0.82669,-1.30946
CHK s2,320,1.20001,1.41201,1.50032,0.98389,0.97807,0.78455,1.21967,1.44367,1.91233,1.37078,0.15434,0.05319,-0.33855,0.9155,0.11344,0.32606,0.17342,1.52522,0.35346,0.12359,0.00596
CHUK s1,259,0.77751,1.5308,2.6765,0.8267,0.69761,1.19667,0.94049,2.19436,2.23663,1.6616,0.95623,0.35351,1.51661,0.90699,0.25904,0.59746,0.10605,1.79049,0.73643,0.20409,1.03677
CHUK s2,6,1.76571,1.13388,1.62733,1.85635,0.89687,0.76158,0.95118,1.26426,2.13679,1.50898,0.33213,0.11745,0.02092,1.1716,0.59685,0.66787,2.2011,1.45074,0.61441,0.33165,-0.27584
CIB3 s1,90,1.1023,1.31788,2.02933,1.19647,0.98639,0.95959,0.9213,1.33606,2.11479,1.48317,0.48512,0.22665,0.7998,1.04748,0.12972,0.59092,1.21838,1.45738,0.60593,0.32116,-0.06072
CIB3 s2,18,1.0392,1.15287,1.33432,0.9305,1.01796,0.85164,1.11681,1.13252,1.56677,1.17546,0.14885,0.17795,0.28935,0.93337,0.0832,0.29975,0.31486,1.27203,0.25537,0.20632,-0.12991
CINP s1,175,0.77903,1.19801,0.98816,1.00092,0.63336,0.80909,0.77831,1.89151,1.22133,0.9884,0.20949,0.93232,-0.7562,0.81446,0.18384,0.22256,-0.62663,1.29705,0.56045,0.45552,-0.06697
CINP s2,168,0.80081,0.86858,1.52399,0.7978,0.63997,0.66146,1.00378,1.35723,2.30397,1.06446,0.3994,0.80609,-0.66979,0.69974,0.0856,0.02604,-1.5349,1.55499,0.67228,0.28901,0.78922
CIT s1,135,1.04774,1.50998,1.00294,0.99777,0.84966,0.68609,1.05009,1.77715,1.46181,1.18689,0.2807,0.36804,-0.26962,0.84451,0.1559,0.22622,-0.38869,1.42968,0.36459,0.178,0.0706
CIT s2,344,0.97094,1.17204,1.2463,0.97457,0.88084,0.81739,0.99627,1.33059,1.52473,1.12976,0.14247,0.2554,-0.34343,0.89093,0.07907,0.13947,-0.02111,1.28386,0.26731,0.20724,-0.32851
CKB s1,372,1.14479,1.50807,0.95156,0.88135,1.36295,0.72909,1.29891,1.10648,1.30513,1.20147,0.28255,0.34222,-0.25964,0.99113,0.33088,0.96719,0.77221,1.23684,0.11294,0.06814,-0.72493
PAK2 s2,287,0.73445,0.80184,0.64079,0.87103,1.0637,1.02256,0.84319,0.75382,0.62665,0.72569,0.08088,0.02778,-1.82015,0.98577,0.10147,0.83067,0.72974,0.74122,0.10882,0.0542,-2.14383
CKM s1,403,0.91174,1.25275,1.10297,0.80333,0.70397,0.73087,1.13495,1.77954,1.50913,1.08915,0.17093,0.46166,-0.52664,0.74606,0.05139,0.01338,-1.1682,1.47454,0.32369,0.12636,0.46666
CKM s2,304,1.25275,0.99533,1.31677,0.94156,0.71145,1.00398,1.33051,1.39902,1.31155,1.18828,0.17014,0.19532,0.22754,0.88566,0.15407,0.32741,-0.06283,1.34702,0.04602,0.00581,0.09572
CKMT1 s1,433,1.11277,1.19797,0.99076,0.81509,0.68757,0.83185,1.3652,1.74231,1.19103,1.1005,0.10415,0.23662,-0.56467,0.77817,0.07891,0.03968,-0.91391,1.43285,0.2818,0.117,0.22801
CKMT1 s2,315,0.91281,1.05167,1.05741,0.89322,0.80509,0.94194,1.02193,1.30629,1.12258,1.0073,0.08188,0.89147,-0.32209,0.88008,0.06937,0.09578,-0.10702,1.15027,0.14418,0.21281,-0.41218
CKS1B s1,226,0.9462,1.48775,1.27729,0.8683,0.65405,0.69547,1.08971,2.27467,1.83659,1.23708,0.27301,0.27146,-0.06198,0.73927,0.11364,0.05788,-1.2219,1.73366,0.59915,0.168,1.24782
CKS1B s2,185,0.92489,1.12641,1.556,0.95098,0.99229,0.64995,0.97257,1.13516,2.39403,1.20243,0.32235,0.39034,-0.39936,0.86441,0.18687,0.33572,-0.23115,1.50059,0.778,0.38105,0.25227
CKS2 s1,226,0.90167,1.69592,1.63909,0.90358,0.78155,0.74646,0.99789,2.16994,2.19581,1.41223,0.44306,0.24838,0.21503,0.81053,0.08247,0.05774,-0.65771,1.78788,0.68427,0.18428,1.08069
CKS2 s2,163,1.05303,0.95842,1.53017,0.96201,0.87911,0.66511,1.09461,1.09021,2.30064,1.18054,0.30646,0.41489,-0.18274,0.83541,0.1532,0.20384,-0.46072,1.49515,0.69758,0.34391,0.43836
CLK2 s1,259,0.74539,0.9974,0.82682,0.93084,0.87654,0.8286,0.80077,1.13788,0.99784,0.85654,0.1286,0.19305,-1.23941,0.87866,0.05115,0.05445,-0.11828,0.97883,0.16936,0.84868,-1.23999
CLK2 s2,361,1.00415,0.60599,0.72373,0.95902,0.88844,0.75224,1.04706,0.68208,0.9621,0.77796,0.20455,0.20083,-1.46542,0.86657,0.10511,0.15895,-0.21405,0.89708,0.19098,0.44914,-1.443
CLK3 s1,430,1.21565,0.74177,0.90468,0.93439,1.11101,1.07869,1.30101,0.66765,0.83868,0.95403,0.24076,0.77231,-0.84559,1.04136,0.09404,0.52575,1.16994,0.93578,0.32766,0.76659,-1.50525
CLK3 s2,301,1.02233,0.62059,1.23264,0.95628,1.02556,0.97494,1.06906,0.60512,1.26433,0.95852,0.31097,0.83877,-0.90686,0.98559,0.03585,0.55842,0.72838,0.9795,0.33861,0.92607,-1.38172
CNKSR1 s1,119,1.2581,1.99595,0.82059,1.26307,1.21929,0.70248,0.99606,1.63698,1.16812,1.35821,0.59404,0.40592,-0.25649,1.06161,0.31179,0.76476,1.33028,1.26706,0.33172,0.29789,-0.75949
CNKSR1 s2,205,0.83916,1.5775,0.66064,0.87965,0.91377,1.15577,0.95397,1.72637,0.5716,1.02577,0.48608,0.93521,-0.75971,0.98306,0.15054,0.86348,0.70832,1.08398,0.58826,0.82776,-1.12179
