,,Run 1 values,,,Run 2 values,,,Run 3 values,,,Cumulative pTau results,,,,Cumulative total Tau results,,,,Cumulative pTau/total Tau results,,,
Well Contents,Average Cell Count,pTau,pTau2,pTau3,Total Tau,Total Tau2,Total Tau3,ptau/total Tau,ptau/total Tau2,ptau/total tau3,Average pTau,St Dev,pvalue,Z score,Average Total Tau,St Dev2,pvalue2,Z score3,Average pTau/total Tau,St Dev3,pvalue3,Z score2
MAPK8 s2,473,1.08348,0.94508,0.79245,0.90384,0.80849,0.88002,1.19875,1.16894,0.90049,0.94034,0.14557,0.55138,-1.39807,0.86412,0.04962,0.04169,-0.23345,1.0894,0.16427,0.4454,-1.15053
MAPK8IP1 s1,375,1.22432,1.10312,1.56909,0.86374,1.32449,0.81703,1.41747,0.83287,1.92049,1.29885,0.24176,0.16559,-0.00464,1.00175,0.28047,0.99236,0.8563,1.39028,0.54432,0.34016,-0.2377
MAPK8IP1 s2,417,0.932,1.34659,1.67833,0.84775,1.46967,0.97808,1.09937,0.91625,1.71594,1.31897,0.37393,0.2776,-0.40542,1.0985,0.32798,0.65479,1.62234,1.24386,0.41897,0.41954,-0.81903
MAPK8IP2 s1,184,0.71174,1.00974,0.81785,0.76969,0.77249,0.77208,0.92472,1.30713,1.05927,0.84644,0.15104,0.22032,-1.94378,0.77142,0.00151,0.00001,-0.96739,1.09704,0.19398,0.47757,-1.15893
MAPK8IP2 s2,302,0.77196,0.79522,1.52461,0.59105,0.67079,0.55873,1.30608,1.18549,2.7287,1.0306,0.42799,0.91278,-0.75616,0.60686,0.05768,0.0071,-2.27031,1.74009,0.85829,0.27388,1.61187
MAPK9 s1,290,0.87646,0.8727,0.99037,0.88887,0.68869,0.82396,0.98604,1.26718,1.20197,0.91318,0.06688,0.1535,-1.35808,0.80051,0.10213,0.07736,-0.73708,1.15173,0.14715,0.21603,-0.82396
MAPK9 s2,332,1.00452,0.94741,1.31525,0.88073,0.69159,0.94319,1.14056,1.36989,1.39447,1.08906,0.19796,0.51741,-0.45776,0.8385,0.131,0.16628,-0.43624,1.30164,0.14004,0.06493,-0.21839
MAPKAP1 s1,183,0.56619,1.19386,1.49822,0.66819,0.73383,0.54349,0.84735,1.62688,2.75667,1.08609,0.47527,0.78342,-0.47416,0.6485,0.09669,0.02431,-1.94059,1.74363,0.96,0.31174,1.59769
MAPKAP1 s2,126,0.8589,0.82956,1.37752,0.81922,0.92677,0.65285,1.04844,0.89511,2.11001,1.02199,0.30825,0.91294,-0.52361,0.79961,0.13801,0.12836,-0.74416,1.35119,0.66161,0.45495,0.19871
MAPKAPK2 s1,197,1.07542,1.79805,1.09295,1.2098,0.72088,0.58774,0.88893,2.49425,1.85957,1.32214,0.41224,0.30857,0.52361,0.83947,0.32755,0.48535,-0.42857,1.74758,0.8085,0.25041,1.43017
MAPKAPK2 s2,365,0.97076,1.62981,0.93627,0.82011,0.98175,0.62623,1.18369,1.66011,1.49507,1.17894,0.39084,0.5109,0.05416,0.80937,0.178,0.20475,-0.66694,1.44629,0.24193,0.08557,0.4009
MAPKAPK3 s1,444,1.12742,0.89514,1.22483,1.0568,0.94671,0.91325,1.06682,0.94553,1.34118,1.08246,0.16938,0.48785,-0.54028,0.97226,0.07511,0.58781,0.62276,1.11784,0.2027,0.41998,-0.98748
MAPKAPK3 s2,345,0.82765,0.94448,0.93698,0.83525,0.79684,0.73732,0.99091,1.18528,1.27078,0.90304,0.06539,0.12402,-1.08925,0.7898,0.04934,0.01787,-0.82184,1.14899,0.14342,0.21378,-0.61512
MAPKBP1 s1,161,0.96038,1.06137,0.98862,1.09798,0.89414,0.81312,0.87468,1.18703,1.21583,1.00346,0.05211,0.91897,-0.7506,0.93508,0.14677,0.52369,0.32844,1.09251,0.1892,0.48621,-0.95698
MAPKBP1 s2,90,1.0512,0.8878,1.55999,1.05537,0.90924,0.73821,0.99605,0.97642,2.11319,1.16633,0.35057,0.49758,-1.37838,0.90094,0.15874,0.39277,0.05813,1.36189,0.65072,0.43706,-0.53431
MARCKS s1,373,1.2238,0.92249,1.52427,0.78198,0.88094,0.84429,1.565,1.04717,1.80538,1.22352,0.30089,0.32703,-0.73656,0.83574,0.05003,0.02956,-0.45812,1.47252,0.38747,0.16906,-0.044
MARCKS s2,370,0.95036,0.58889,1.29917,0.89066,0.79887,0.87659,1.06703,0.73715,1.48208,0.94614,0.35516,0.81739,-0.62199,0.85537,0.04944,0.03681,-0.30267,1.09542,0.37327,0.70122,-0.63144
MARK1 s1,412,0.93988,0.8509,1.42462,0.96296,0.86229,1.34709,0.97603,0.98679,1.05755,1.0718,0.30877,0.72611,-0.00852,1.05745,0.25584,0.73484,1.29728,1.00679,0.04429,0.81544,-0.98561
MARK1 s2,455,1.146,0.81368,0.85304,1.02322,0.77127,0.90915,1.11999,1.05499,0.93828,0.93757,0.18157,0.61192,-1.08626,0.90121,0.12616,0.30784,0.06028,1.03776,0.09207,0.55121,-1.17528
ITK s1,285,1.08783,1.12342,1.16039,0.95432,0.85525,0.85001,1.1399,1.31357,1.36515,1.12388,0.03628,0.02742,-0.46009,0.88653,0.05877,0.07897,-0.05599,1.27287,0.11801,0.05706,-0.42921
MARK2 s2,445,1.07219,0.6757,0.86592,0.97348,0.87515,0.74322,1.1014,0.77209,1.1651,0.87127,0.1983,0.37767,-1.03149,0.86395,0.11554,0.17823,-0.23476,1.01286,0.21093,0.92551,-1.00104
MARK3 s1,387,1.03083,1.07074,1.04301,0.92929,0.95476,0.67576,1.10927,1.12147,1.54347,1.04819,0.02045,0.05512,-0.34763,0.85327,0.15426,0.24121,-0.31933,1.25807,0.24724,0.21235,-0.16574
MARK3 s2,432,0.95291,0.98957,0.50885,0.87444,1.00185,0.83703,1.08974,0.98774,0.60792,0.81711,0.26759,0.35812,-1.28231,0.90444,0.08641,0.19552,0.08583,0.89513,0.25391,0.54863,-1.46095
MARK4 s1,332,1.34881,0.85755,1.20378,1.09206,1.06434,0.89709,1.23511,0.80572,1.34186,1.13671,0.2524,0.4472,-0.06652,1.01783,0.10548,0.79729,0.98359,1.12756,0.28379,0.51773,-0.84163
MARK4 s2,361,1.04332,0.96453,0,1.03084,1.10353,0,1.01211,0.87404,#DIV/0!,0.66928,0.58095,0.42808,-2.62579,1.06719,0.0514,0.50312,1.37442,0.94307,0.09763,#DIV/0!,-1.66701
MAST1 s1,408,1.15175,0.85705,1.57825,0.8459,0.92735,1.06106,1.36156,0.9242,1.48742,1.19568,0.3626,0.4486,-0.54008,0.94477,0.10863,0.47143,0.40516,1.25773,0.29562,0.27011,-0.74205
MAST1 s2,359,1.17199,0.84971,1.4176,0.98518,0.98743,0.93042,1.18963,0.86053,1.52362,1.14643,0.2848,0.46713,-0.85017,0.96767,0.03228,0.225,0.58649,1.19126,0.33154,0.42297,-1.01174
MAST2 s1,454,1.29344,1.62196,1.04049,0.99248,0.89251,0.67482,1.30324,1.8173,1.54189,1.31863,0.29155,0.19889,0.91171,0.85327,0.16243,0.25812,-0.31933,1.55414,0.25725,0.06492,0.94871
MAST2 s2,437,1.10239,0.92837,0.9392,1.01242,0.95603,0.70979,1.08886,0.97106,1.3232,0.98998,0.0975,0.87517,-1.22188,0.89275,0.16093,0.36768,-0.00674,1.12771,0.17925,0.34253,-1.08198
MATK s1,404,0.80721,0.9428,0.98431,0.72689,0.76468,1.1943,1.1105,1.23293,0.82417,0.91144,0.09262,0.23955,-1.20531,0.89529,0.25964,0.55715,0.01339,1.05587,0.20978,0.68991,-1.09828
MATK s2,281,0.89658,0.74911,0.79132,0.85132,0.89627,1.17423,1.05317,0.83581,0.6739,0.81233,0.07595,0.05049,-1.96569,0.97394,0.17491,0.82048,0.63609,0.85429,0.19031,0.31597,-2.05824
MELK s1,462,0.82904,1.10936,1.44662,1.02424,1.33137,0.92591,0.80942,0.83325,1.56237,1.12834,0.30923,0.54687,-0.4921,1.09384,0.2115,0.52254,1.58542,1.06835,0.42801,0.80806,-1.30695
MELK s2,339,1.17221,0.9489,1.12665,1.05777,1.05143,0.91448,1.10819,0.90248,1.23202,1.08259,0.118,0.34919,-0.39087,1.00789,0.08096,0.88147,0.90492,1.0809,0.16646,0.48852,-1.06664
MERTK s1,53,1.23819,1.10658,1.30401,0.93869,1.28814,1.00992,1.31906,0.85905,1.2912,1.21626,0.10053,0.06507,-0.23367,1.07892,0.18466,0.53627,1.46728,1.15644,0.25792,0.40368,-1.03169
MERTK s2,161,0.87158,1.11443,1.53308,0.91219,0.90742,0.82088,0.95548,1.22813,1.86761,1.17303,0.33462,0.46496,-0.12568,0.88016,0.0514,0.0562,-0.10639,1.35041,0.4682,0.32429,-0.07377
MET s1,219,0.9314,1.1417,1.12873,0.81343,0.63569,1.19611,1.14503,1.79599,0.94367,1.06727,0.11785,0.42701,-0.46855,0.88174,0.28639,0.5487,-0.09387,1.29489,0.44549,0.37023,-0.16499
MET s2,290,0.56986,1.03697,0.80895,0.57421,0.89533,1.16082,0.99244,1.1582,0.69688,0.80526,0.23358,0.28555,-1.43093,0.87678,0.29374,0.54304,-0.13314,0.94917,0.23368,0.74258,-1.31127
MGC4796 s1,451,1.19832,0.99328,1.49619,0.93589,0.85028,0.98806,1.28041,1.16818,1.51428,1.22927,0.25288,0.25693,0.4158,0.92474,0.06956,0.2018,0.24657,1.32096,0.17657,0.0878,-0.04328
MGC4796 s2,265,1.06251,1.07155,0,0.88511,0.77732,0,1.20043,1.37853,#DIV/0!,0.71136,0.61607,0.50229,-2.51242,0.83122,0.07622,0.25091,-0.49394,1.28948,0.12594,#DIV/0!,-0.28273
MKNK1 s1,329,0.84784,1.52869,1.34524,0.97259,0.98202,1.11685,0.87174,1.55667,1.20449,1.24059,0.35228,0.35841,0.11763,1.02382,0.08071,0.66005,1.03104,1.21097,0.34251,0.39777,-0.72246
MKNK1 s2,404,0.95322,1.02164,0.9158,1.07442,0.83259,0.82787,0.88719,1.22706,1.10621,0.96355,0.05367,0.36053,-1.02068,0.91163,0.141,0.39111,0.14275,1.07348,0.17228,0.53697,-1.09001
MKNK2 s1,374,1.23125,1.25783,1.28519,1.07837,0.86789,1.11474,1.14177,1.44931,1.15291,1.25809,0.02697,0.00362,0.506,1.02033,0.13327,0.81634,1.00341,1.24799,0.17443,0.13283,-0.41694
MKNK2 s2,307,0.76003,1.52835,0.86501,0.96397,1.07588,0.83151,0.78844,1.42056,1.04029,1.05113,0.4166,0.85136,-0.43477,0.95712,0.12233,0.60552,0.50294,1.08309,0.31823,0.6954,-0.96566
MK-STYX s1,108,0.97809,0.83543,0.66176,1.10123,0.8295,0.57746,0.88818,1.00714,1.14598,0.82509,0.15842,0.19598,-1.44486,0.83606,0.26195,0.39165,-0.45556,1.01377,0.12903,0.8704,-1.13832
MK-STYX s2,259,0.62827,0.69803,1.21936,0.53585,0.56256,0.46991,1.17246,1.24082,2.59486,0.84856,0.32302,0.50204,-1.50526,0.52278,0.04769,0.00331,-2.93605,1.66938,0.80222,0.28526,1.47274
MOS s1,219,0.89135,1.23446,1.29334,0.85249,0.73857,0.57791,1.04559,1.67142,2.23796,1.13972,0.2171,0.38096,-0.59101,0.72299,0.13795,0.07365,-1.35083,1.65165,0.59643,0.19896,0.91028
MOS s2,240,0.67154,1.02193,1.34595,0.57177,0.8914,0.64598,1.17449,1.14642,2.08359,1.01314,0.33729,0.95234,-0.87978,0.70305,0.16728,0.0915,-1.5087,1.46817,0.53316,0.26767,0.46079
MST1R s1,235,1.16362,1.18938,1.1641,1.0347,0.80814,1.14658,1.12461,1.47174,1.01527,1.17237,0.01473,0.00243,-0.71283,0.99647,0.17243,0.97495,0.81451,1.20387,0.23834,0.27663,-0.97571
MST1R s2,165,0.78353,1.56219,1.174,0.77152,1.03889,0.75347,1.01556,1.50371,1.55813,1.17324,0.38933,0.52148,-0.60883,0.85463,0.15983,0.25586,-0.30858,1.35913,0.29878,0.1728,-0.32714
MST4 s1,130,0.84349,0.8695,0.78542,0.81512,1.11021,0.72418,1.0348,0.78318,1.08457,0.8328,0.04305,0.02139,-1.53791,0.88317,0.20181,0.42162,-0.08258,0.96752,0.16157,0.76091,-1.40932
MST4 s2,395,0.67336,1.13821,0.59691,0.62004,1.22972,1.03523,1.086,0.92558,0.57659,0.80282,0.29295,0.36393,-1.58424,0.96166,0.31143,0.85091,0.53888,0.86273,0.26045,0.45767,-1.79332
MVK s1,405,0.9746,1.04337,1.06124,0.88049,0.96339,0.62034,1.10689,1.08301,1.71074,1.0264,0.04574,0.42274,-0.84883,0.82141,0.179,0.2261,-0.57159,1.30021,0.35572,0.2813,-0.23778
MVK s2,343,0.91222,1.20559,1.15703,0.81112,0.77997,0.95042,1.12464,1.5457,1.21738,1.09161,0.15724,0.41915,-0.21754,0.84717,0.09077,0.10021,-0.36761,1.29591,0.22124,0.14647,-0.07845
MYLK s1,408,1.07074,0.97837,1.18306,0.94025,0.81279,0.84744,1.13878,1.20372,1.39605,1.07739,0.10251,0.32111,-0.63105,0.86682,0.0659,0.07282,-0.212,1.24618,0.13379,0.08594,-0.49223
MYLK s2,394,0.97832,0.89821,0.698,0.87429,0.83237,0.86314,1.11899,1.0791,0.80868,0.85818,0.14438,0.23099,-1.29414,0.8566,0.02171,0.00755,-0.29297,1.00226,0.16883,0.98363,-1.2045
MYLK2 s1,433,1.02146,1.44201,1.07367,1.01304,0.74619,0.77795,1.00831,1.9325,1.38013,1.17905,0.22922,0.30873,-0.59617,0.84573,0.14577,0.20824,-0.37905,1.44032,0.46503,0.24268,-0.04247
MYLK2 s2,370,0.83212,0.9786,0,0.85464,0.91509,0,0.97366,1.06941,#DIV/0!,0.60357,0.52782,0.323,-2.70652,0.88486,0.04274,0.29956,-0.06918,1.02153,0.06771,#DIV/0!,-1.17502
NAGK s1,396,1.3131,1.26814,1.96464,0.92956,1.17458,0.96494,1.4126,1.07965,2.03602,1.51529,0.38979,0.1492,0.01069,1.02303,0.13244,0.79173,1.02476,1.50943,0.48548,0.21078,-0.05016
NAGK s2,371,1.20849,0.89685,1.51481,0.98527,1.14737,0.77263,1.22656,0.78166,1.96058,1.20672,0.30898,0.36621,-0.37069,0.96842,0.18793,0.79843,0.5924,1.32294,0.59534,0.44664,-0.41882
NEK1 s1,108,0.6165,1.58,1.48586,0.60747,0.59287,0.56924,1.01488,2.66499,2.61028,1.22745,0.53119,0.53556,-0.34719,0.58986,0.01929,0.00074,-2.40492,2.09671,0.9373,0.17993,2.40118
NEK1 s2,205,0.88498,0.85226,1.4274,0.73071,0.79968,0.64025,1.21112,1.06576,2.22946,1.05488,0.32303,0.79628,-0.27733,0.72354,0.07996,0.02677,-1.34644,1.50211,0.63408,0.3038,0.87349
NEK11 s1,303,0.79625,0.46839,0.94594,0.7637,0.95866,0.59012,1.04262,0.48859,1.60297,0.73686,0.24425,0.20303,-1.74676,0.77083,0.18437,0.1642,-0.97208,1.04473,0.55719,0.90216,-0.90347
NEK11 s2,180,0.80312,1.00756,0.53307,0.74833,0.75568,0.93199,1.07321,1.33332,0.57197,0.78125,0.238,0.25239,-1.6998,0.812,0.10398,0.08862,-0.64608,0.99283,0.38699,0.97732,-1.25529
NEK2 s1,177,0.98697,1.33346,1.44157,1.14039,1.02215,0.71842,0.86546,1.30457,2.00659,1.254,0.23749,0.20515,0.04106,0.96032,0.21768,0.7821,0.52826,1.39221,0.57559,0.35927,-0.11001
NEK2 s2,264,1.03515,0.9567,1.82696,1.03938,1.05625,0.68148,0.99593,0.90575,2.68088,1.27293,0.4814,0.42964,-0.24453,0.9257,0.21167,0.60506,0.25417,1.52752,0.99986,0.45728,0.19103
NEK3 s1,7,1.2118,1.44344,1.67249,0.61136,0.78133,0.61697,1.98214,1.84741,2.71081,1.44258,0.23035,0.07966,-0.0839,0.66989,0.09656,0.02735,-1.77127,2.18012,0.4645,0.04796,2.06351
NEK3 s2,305,0.90099,1.16631,1.52938,0.829,0.94437,0.64618,1.08684,1.23502,2.36681,1.19889,0.31546,0.38882,-0.9747,0.80651,0.15036,0.15564,-0.68951,1.56289,0.70015,0.29839,0.23466
NEK4 s1,76,1.44867,1.1502,1.69707,1.29803,1.3758,0.70202,1.11605,0.83602,2.41741,1.43198,0.27382,0.1119,-0.665,1.12528,0.36862,0.6157,1.8344,1.45649,0.84388,0.44769,-0.46895
NEK4 s2,358,1.08444,1.01979,1.59976,0.78585,1.58984,0.62882,1.37996,0.64144,2.54407,1.23466,0.31783,0.32929,0.0174,1.00151,0.51553,0.99642,0.85436,1.52182,0.95922,0.44553,0.46896
NEK6 s1,142,0.88183,0.78152,0.64113,0.87949,0.92437,0.53399,1.00266,0.84546,1.20064,0.76816,0.1209,0.07993,-1.59662,0.77928,0.21361,0.2154,-0.90514,1.01625,0.17798,0.88884,-1.02077
NEK6 s2,141,0.80291,0.90205,0.44122,0.6714,0.87484,1.04735,1.19587,1.03111,0.42127,0.71539,0.24256,0.17918,-1.80461,0.86453,0.18819,0.33867,-0.23017,0.88275,0.40806,0.66804,-1.52585
NEK7 s1,230,0.8578,0.57627,1.08972,0.73688,0.92568,1.13792,1.16408,0.62253,0.95764,0.84126,0.25712,0.39688,-1.35354,0.93349,0.20063,0.62384,0.31587,0.91475,0.27331,0.64315,-1.53725
NEK7 s2,39,1.31164,0.66503,1.20492,1.10646,0.84537,1.19327,1.18544,0.78667,1.00977,1.06053,0.34665,0.79087,-0.69606,1.04836,0.18108,0.6891,1.22537,0.99396,0.19985,0.96301,-1.49305
NEK8 s1,178,0.73962,0.6673,0.91207,0.64396,0.82344,1.08567,1.14855,0.81038,0.84009,0.77299,0.12575,0.08886,-1.75893,0.85102,0.22215,0.3653,-0.33711,0.93301,0.18725,0.59866,-1.50941
NEK8 s2,2,1.60048,1.15822,1.08806,2.07933,0.70553,0.91626,0.76971,1.64163,1.18751,1.28226,0.27782,0.22052,0.68784,1.23371,0.73987,0.63919,2.69286,1.19961,0.43608,0.51099,-0.56478
NEK9 s1,99,1.04013,1.12797,0.94738,1.00212,1.11973,0.86345,1.03793,1.00736,1.09721,1.03849,0.0903,0.53719,-0.94561,0.9951,0.12828,0.95326,0.80363,1.0475,0.04568,0.2135,-1.37908
NEK9 s2,352,0.88233,0.7232,0.7449,0.95171,0.63429,1.22353,0.9271,1.14017,0.60881,0.78348,0.08629,0.04908,-1.4546,0.93651,0.29491,0.74504,0.33974,0.89203,0.26741,0.55671,-1.47729
NIPA s1,168,0.95971,1.16554,1.01403,0.9672,0.75103,0.65776,0.99226,1.55192,1.54164,1.04643,0.10667,0.52959,-0.65593,0.792,0.15873,0.15128,-0.80445,1.36194,0.32019,0.18936,0.04888
NIPA s2,49,0.97088,0.98437,1.20469,0.73745,0.78334,0.74071,1.31654,1.25663,1.62639,1.05332,0.13127,0.55463,-0.42616,0.75383,0.02561,0.00359,-1.10662,1.39986,0.19846,0.07321,0.35278
NJMU-R1 s1,414,1.48149,1.67212,0.75878,1.10899,0.97734,0.72352,1.33588,1.7109,1.04874,1.30413,0.48181,0.38837,-0.33155,0.93662,0.19594,0.63166,0.34058,1.36518,0.33205,0.19709,-0.39857
NJMU-R1 s2,398,0.78798,0.99311,1.23854,0.89728,1.10884,0.87444,0.87818,0.89564,1.41637,1.00654,0.22558,0.9645,-1.22764,0.96019,0.12924,0.647,0.52721,1.0634,0.30581,0.75391,-1.40744
NLK s1,204,0.89002,0.88264,1.12106,0.9353,1.03777,0.69983,0.95159,0.85052,1.6019,0.96457,0.13557,0.6952,-1.14929,0.89097,0.17328,0.38958,-0.02084,1.13467,0.40778,0.62504,-0.90704
NLK s2,452,1.08113,0.95252,0.9276,0.86131,0.85533,0.78723,1.25522,1.11363,1.17831,0.98708,0.08239,0.81144,-0.7398,0.83462,0.04115,0.02002,-0.46696,1.18238,0.07088,0.04684,-0.52814
NME1 s1,441,1.00305,0.90948,1.38417,0.8814,0.7411,0.95372,1.13802,1.22721,1.45134,1.0989,0.25144,0.566,-0.35996,0.85874,0.10811,0.15195,-0.27602,1.27219,0.16143,0.09998,-0.31799
NME1 s2,489,1.21779,0.86866,1.68716,0.8715,0.79352,1.10052,1.39735,1.09469,1.53306,1.25787,0.41072,0.39043,0.16047,0.92185,0.15957,0.48561,0.22364,1.3417,0.22442,0.11872,-0.25006
NME2 s1,470,0.93912,0.93918,0.9608,0.83993,0.83711,0.61059,1.11809,1.12193,1.57356,0.94637,0.0125,0.01762,-0.98099,0.76254,0.13161,0.08894,-1.03766,1.27119,0.26186,0.21471,-0.17615
NME2 s2,436,0.98737,1.01411,0.86142,0.71106,0.77431,0.74507,1.38859,1.30971,1.15617,0.9543,0.08154,0.43407,-0.69258,0.74348,0.03165,0.00504,-1.18863,1.28482,0.11819,0.05289,0.04523
NME3 s1,425,0.96512,0.89727,1.54436,0.97288,0.89952,0.77161,0.99203,0.9975,2.00149,1.13558,0.35563,0.57693,-0.77765,0.88133,0.10186,0.1811,-0.09712,1.33034,0.58124,0.42871,-0.42722
NME3 s2,388,1.45806,0.81863,1.54904,0.79087,0.59414,1.15153,1.84362,1.37783,1.3452,1.27524,0.39805,0.35373,-0.72673,0.84551,0.28269,0.44378,-0.38072,1.52222,0.27882,0.08332,-0.0037
NME4 s1,413,0.93173,1.11109,1.33111,0.71837,1.195,0.74517,1.29701,0.92978,1.78631,1.12464,0.20003,0.39333,-0.68617,0.88618,0.26778,0.53825,-0.05874,1.3377,0.42972,0.30654,-0.32297
NME4 s2,418,1.20468,1.15656,1.35137,0.75915,0.78093,1.31417,1.58689,1.48101,1.0283,1.23754,0.10148,0.05579,-0.60875,0.95142,0.31435,0.81401,0.45776,1.3654,0.2967,0.16653,-0.46281
NME5 s1,416,1.6663,1.07215,1.01393,0.90186,0.91049,0.67532,1.84763,1.17755,1.50141,1.25079,0.36101,0.35199,0.87313,0.82922,0.13335,0.1568,-0.50972,1.50886,0.3351,0.11924,1.02371
NME5 s2,397,1.20163,1.06623,0.92002,0.89718,0.89255,0.82811,1.33934,1.19459,1.11099,1.06263,0.14084,0.52173,-0.57889,0.87261,0.03861,0.02929,-0.16618,1.21497,0.11553,0.08428,-0.57487
NME6 s1,466,1.1026,2.01807,1.05638,0.97593,0.92948,0.76108,1.12979,2.17118,1.388,1.39235,0.54238,0.33686,0.75915,0.88883,0.11305,0.23063,-0.03775,1.56299,0.5423,0.21398,0.57325
NME6 s2,459,0.83868,1.11814,0.77441,0.90766,1.2331,0.90106,0.924,0.90677,0.85944,0.91041,0.18275,0.48524,-1.25581,1.01394,0.18982,0.91042,0.95281,0.89674,0.03343,0.03321,-1.77992
NME7 s1,324,0.87742,0.70945,1.01197,0.89101,0.84214,0.87876,0.98474,0.84244,1.15159,0.86628,0.15157,0.26608,-1.12959,0.87064,0.02543,0.01264,-0.1818,0.99292,0.15474,0.94408,-1.13832
NME7 s2,398,0.91573,0.81076,1.17082,1.15302,0.92327,1.01378,0.7942,0.87815,1.1549,0.96577,0.18517,0.77918,-0.53153,1.03002,0.11573,0.6972,1.08015,0.94241,0.18874,0.64997,-1.25007
NRBP s1,238,1.06733,1.0179,0.94292,0.87484,0.90047,0.75197,1.22003,1.13041,1.25394,1.00938,0.06264,0.81952,-1.2427,0.84243,0.07938,0.07517,-0.40518,1.20146,0.06382,0.03186,-0.86536
NRBP s2,20,1.20243,1.20744,0.73468,1.13154,0.79967,1.06688,1.06264,1.50991,0.68862,1.04818,0.27151,0.78763,-0.61344,0.99937,0.17593,0.99558,0.83741,1.08706,0.41119,0.74899,-1.08707
NRGN s1,406,0.86234,0.70706,0.57213,0.81086,0.91319,0.70896,1.06349,0.77427,0.80701,0.71384,0.14522,0.07617,-1.7715,0.811,0.10212,0.08508,-0.65398,0.88159,0.15838,0.32468,-1.4996
NRGN s2,433,0.86001,0.74607,1.18135,0.91115,0.84443,0.82637,0.94387,0.88351,1.42956,0.92914,0.22573,0.64115,-1.44392,0.86065,0.04466,0.03257,-0.26086,1.08565,0.29937,0.66932,-1.16615
NTRK3 s1,354,0.844,1.16211,1.08588,0.70091,0.68732,1.15148,1.20414,1.69079,0.94304,1.03066,0.16609,0.77946,-0.78549,0.84657,0.26415,0.42032,-0.37239,1.27932,0.37951,0.33044,-0.31407
NTRK3 s2,37,1.12516,1.02529,0.82144,0.79911,0.7428,1.30066,1.40801,1.3803,0.63155,0.99063,0.1548,0.92605,-0.89873,0.94752,0.30712,0.79517,0.42695,1.13996,0.44051,0.63737,-0.83671
NUCKS s1,267,0.89098,1.18906,1.04064,0.9349,0.89999,0.84473,0.95302,1.32119,1.23193,1.04023,0.14904,0.68614,-0.84532,0.8932,0.04547,0.05544,-0.00314,1.16871,0.19205,0.26752,-0.82412
NUCKS s2,168,0.90015,1.04608,1.64493,0.8721,0.95949,0.62809,1.03216,1.09024,2.61895,1.19705,0.39468,0.47832,0.39556,0.81989,0.17176,0.21098,-0.5836,1.58045,0.89984,0.38008,1.15103
NYD-SP25 s1,338,1.17803,1.39431,1.70254,1.23071,1.23835,0.97782,0.9572,1.12594,1.74116,1.42496,0.26359,0.10789,1.05542,1.14896,0.14826,0.22395,2.02187,1.27476,0.41263,0.36799,-0.48986
NYD-SP25 s2,433,1.31947,0.94378,2.13095,1.17051,1.05025,1.36056,1.12726,0.89863,1.56623,1.46474,0.60677,0.31584,-0.04555,1.19378,0.15646,0.16511,2.37669,1.19737,0.33928,0.41973,-1.13044
PACSIN2 s1,75,1.36152,1.08473,1.11774,1.34914,1.00859,0.92841,1.00917,1.07549,1.20392,1.18799,0.15118,0.16409,-0.25879,1.09538,0.22339,0.5366,1.59763,1.0962,0.09901,0.23445,-1.26068
PACSIN2 s2,131,1.1574,0.83539,1.41591,1.0291,0.83668,0.79634,1.12468,0.99846,1.77803,1.13623,0.29084,0.50238,-0.61108,0.88737,0.12438,0.25734,-0.04932,1.30039,0.41844,0.3397,-0.46732
PACSIN3 s1,51,1.69797,2.07726,0.97274,2.0381,1.33385,0.85567,0.83311,1.55734,1.13681,1.58265,0.56122,0.21396,0.30411,1.40921,0.59481,0.35565,4.08239,1.17576,0.36368,0.49065,-1.24622
PACSIN3 s2,156,0.93423,1.66264,1.4429,1.04798,1.50135,0.71144,0.89146,1.10743,2.02815,1.34659,0.37364,0.24936,-0.40549,1.08692,0.39639,0.74062,1.53067,1.34234,0.60366,0.42953,-0.5961
PAK1 s1,167,1.06957,1.41345,1.01518,1.11876,0.76818,0.65602,0.95604,1.83999,1.54749,1.16607,0.21596,0.3144,-0.81746,0.84765,0.24139,0.38843,-0.36381,1.44784,0.45032,0.22712,-0.12933
PAK1 s2,102,1.02121,1.67596,0.66773,0.93457,0.74739,1.20116,1.09271,2.24241,0.5559,1.12163,0.51156,0.72041,-0.40096,0.96104,0.22804,0.7952,0.53398,1.29701,0.86162,0.61106,-0.29261
PAK2 s1,176,0.81854,0.86197,0.88188,0.75434,0.96019,0.71106,1.08511,0.8977,1.24024,0.85413,0.03239,0.01604,-1.43998,0.80853,0.13312,0.13034,-0.67357,1.07435,0.17152,0.53109,-0.97961
PIM1 s1,409,1.30127,1.13609,1.3058,1.07522,0.86551,0.95478,1.21024,1.31263,1.36765,1.24772,0.0967,0.04722,0.12576,0.96517,0.10524,0.62432,0.56664,1.29684,0.07989,0.0233,-0.39674
PAK3 s1,183,0.83459,0.92358,0.87036,0.80082,1.07634,0.78995,1.04217,0.85808,1.10179,0.87618,0.04478,0.04094,-1.12023,0.88904,0.1623,0.358,-0.03613,1.00068,0.12704,0.99345,-1.13787
RAGE s2,397,1.20747,1.41755,1.2904,0.91025,1.0614,0.90755,1.32653,1.33554,1.42186,1.30514,0.10581,0.03782,0.2673,0.95973,0.08806,0.51136,0.52361,1.36131,0.05263,0.007,-0.22929
